2	12
7	4
11	9
16	1
17	1
21	2
22	7
27	3
28	4
33	1
41	17
45	2
46	4
48	2
53	2
54	1
57	2
61	2
62	18
65	1
69	2
76	1
77	7
86	1
87	1
89	6
91	1
96	1
97	2
99	13
109	4
113	1
117	3
118	1
122	8
125	2
133	1
152	5
153	1
160	1
161	11
171	2
173	1
175	1
181	21
191	3
195	2
201	5
210	1
212	7
224	15
229	9
232	2
236	2
237	1
239	4
240	4
241	7
244	1
249	2
253	1
257	2
264	2
275	8
280	1
281	7
285	1
288	8
290	1
294	2
300	3
302	3
304	8
305	20
306	1
307	2
309	11
311	7
314	3
315	1
316	5
320	6
322	1
323	12
327	8
330	23
331	20
333	1
347	3
350	3
351	20
353	1
364	2
367	3
371	1
374	6
383	10
394	5
395	1
397	3
408	2
414	2
422	6
423	14
424	1
425	2
426	11
428	1
430	4
434	6
440	2
446	3
451	5
455	3
459	17
465	1
469	1
470	1
480	9
483	2
485	1
488	4
489	1
498	1
500	1
502	3
516	1
517	1
521	1
535	3
537	3
539	1
540	1
541	1
543	1
549	1
550	2
551	17
552	4
556	2
560	1
561	1
563	2
564	8
569	7
571	12
572	1
589	25
591	6
594	24
595	6
597	10
600	9
605	1
606	4
611	1
613	2
616	2
619	1
623	4
624	1
625	2
628	2
634	4
648	3
649	1
652	16
654	2
658	1
672	1
677	1
682	3
686	4
693	7
696	1
699	1
701	2
703	6
709	1
710	3
714	3
717	11
726	2
729	1
733	1
734	2
737	2
738	1
740	3
742	8
743	12
750	2
752	1
756	1
759	4
761	2
763	1
764	8
766	17
767	1
769	5
770	1
771	4
773	3
777	2
779	1
782	14
784	4
789	1
790	10
802	7
805	4
807	1
812	1
813	30
814	2
817	2
818	5
819	2
820	11
821	24
824	6
825	1
826	1
827	9
829	3
830	1
831	1
841	1
847	1
848	1
850	5
851	1
853	17
867	5
870	1
873	4
875	4
878	2
881	8
887	3
888	1
889	8
890	4
893	8
894	13
897	9
901	2
907	1
908	6
912	5
923	8
927	5
931	2
932	1
934	3
935	2
936	9
939	6
941	10
942	1
945	2
946	4
950	12
959	2
964	1
970	11
972	19
973	1
979	1
981	3
982	4
990	1
995	1
997	1
1006	3
1010	7
1011	1
1012	4
1014	9
1017	1
1019	1
1023	2
1024	4
1027	1
1030	6
1052	7
1056	1
1058	2
1060	11
1061	6
1066	4
1072	10
1074	6
1077	2
1078	5
1080	7
1082	3
1090	4
1094	2
1096	1
1100	1
1112	1
1114	1
1124	1
1126	7
1139	6
1140	1
1141	2
1143	9
1147	2
1149	5
1163	2
1164	1
1167	8
1183	1
1188	1
1191	1
1201	13
1202	1
1213	1
1216	3
1219	1
1222	2
1224	5
1225	3
1227	1
1233	9
1235	11
1237	3
1240	1
1241	2
1244	1
1246	4
1261	11
1269	2
1270	1
1272	1
1275	2
1277	1
1278	1
1279	1
1280	1
1281	7
1290	1
1291	3
1292	6
1295	23
1301	6
1303	4
1304	2
1311	3
1312	2
1317	4
1322	1
1327	5
1331	1
1332	2
1335	13
1337	8
1340	12
1341	2
1342	1
1344	5
1346	2
1348	1
1352	8
1354	3
1358	5
1359	1
1361	1
1365	2
1367	6
1371	1
1379	17
1380	1
1383	1
1384	1
1385	3
1387	1
1388	1
1390	4
1392	1
1396	7
1398	6
1402	3
1405	1
1409	1
1414	1
1420	2
1421	1
1425	1
1428	4
1432	2
1433	1
1435	9
1451	12
1465	2
1466	5
1467	16
1472	7
1474	2
1477	8
1487	1
1489	6
1494	20
1497	1
1498	1
1502	1
1507	4
1508	2
1517	1
1519	1
1522	4
1527	1
1530	2
1533	10
1540	8
1543	10
1545	8
1550	1
1555	1
1559	8
1566	1
1568	3
1571	2
1573	5
1576	12
1577	1
1579	2
1586	23
1587	1
1591	1
1592	14
1598	23
1599	11
1609	14
1614	2
1615	4
1616	1
1621	4
1630	6
1636	2
1640	6
1644	2
1647	1
1648	5
1652	6
1653	2
1655	9
1657	3
1662	2
1680	2
1681	2
1684	4
1687	2
1688	1
1689	1
1690	1
1693	1
1695	2
1703	7
1704	11
1707	1
1710	1
1715	5
1719	12
1720	2
1722	2
1730	8
1733	3
1741	1
1745	1
1751	1
1753	4
1763	9
1764	4
1768	72
1782	2
1785	1
1786	12
1787	2
1789	10
1790	1
1791	1
1794	2
1796	2
1798	1
1800	3
1801	1
1808	14
1809	2
1815	6
1824	2
1836	6
1845	1
1850	3
1852	8
1855	1
1858	14
1860	1
1866	6
1869	9
1883	9
1888	1
1889	1
1891	1
1893	3
1898	2
1903	3
1906	4
